column,bin_start,bin_end,mz_start,mz_end,mean_abs,mean_signed,rows_used,nonzero_rows,value_correlation
3242,3242,3242,11726.0,11729.0,0.010301114527306714,0.0023846511214974746,426,426,-0.8134230747529555
3116,3116,3116,11348.0,11351.0,0.010284807033321408,-0.0013224331812898731,426,426,0.5678254677534833
3179,3179,3179,11537.0,11540.0,0.010271553886081178,0.0012997873480335394,426,426,-0.8486989827101471
430,430,430,3290.0,3293.0,0.010262714877880275,0.00034735983186152464,426,426,0.8038272450517958
3117,3117,3117,11351.0,11354.0,0.01019118408644329,6.648262125983378e-05,426,426,0.7953242616867755
1853,1853,1853,7559.0,7562.0,0.010187629459112895,0.00021598133043689238,426,426,-0.6739777544288682
2953,2953,2953,10859.0,10862.0,0.010187009488192665,0.0003408645405766425,426,426,-0.5163485444974573
36,36,36,2108.0,2111.0,0.01014706098134327,0.0011325318274942936,426,426,0.5928726457103275
1357,1357,1357,6071.0,6074.0,0.010078057307379451,0.0009493435355344467,426,426,0.5847027952932753
699,699,699,4097.0,4100.0,0.010018643348608948,-0.0003412243777637631,426,426,-0.776521453757122
2452,2452,2452,9356.0,9359.0,0.009965015295173558,-0.0009166885435383002,426,426,-0.8222699221186291
3243,3243,3243,11729.0,11732.0,0.009930721130813247,0.001404204590107945,426,426,-0.7007504894652584
1172,1172,1172,5516.0,5519.0,0.009911795142079141,0.0008036430272660775,426,426,0.3119856263909397
140,140,140,2420.0,2423.0,0.009901202813494579,-0.00028642638929259463,426,426,0.09476050129125767
4836,4836,4836,16508.0,16511.0,0.009900989875879541,0.0006299570516883334,426,426,-0.6086640092691208
198,198,198,2594.0,2597.0,0.009845416714529907,0.0010437238919150194,426,426,0.6315564601607668
742,742,742,4226.0,4229.0,0.009803340627069553,-7.333397722273005e-05,426,426,0.7913998164493228
5888,5888,5888,19664.0,19667.0,0.00979379460340591,4.184379376663401e-05,426,426,-0.6405768303903618
81,81,81,2243.0,2246.0,0.009773183924590615,-0.00048224992500870074,426,426,-0.6695151723474534
2802,2802,2802,10406.0,10409.0,0.009719424143911658,-0.001340344415531543,426,426,0.672312344447582
3449,3449,3449,12347.0,12350.0,0.009716845659883353,-0.00033051939927278024,426,426,0.6332187024602072
4845,4845,4845,16535.0,16538.0,0.009693277475861446,-0.0005292858370856861,426,426,0.6929611915575251
89,89,89,2267.0,2270.0,0.00969281435052965,-0.00012610995809829415,426,426,0.5803679240050308
44,44,44,2132.0,2135.0,0.009681474422689318,-6.024004340290915e-06,426,426,0.7034253708937623
4856,4856,4856,16568.0,16571.0,0.009672835911530373,0.00017212951676607338,426,426,0.3122872674405772
2571,2571,2571,9713.0,9716.0,0.009614719564811977,-0.000600129484284427,426,426,-0.7082062448524336
2860,2860,2860,10580.0,10583.0,0.009599127051225752,0.0008097730679461506,426,426,-0.6370193387906998
1268,1268,1268,5804.0,5807.0,0.009595868445672943,0.00042300395452742566,426,426,-0.7786930174564468
5190,5190,5190,17570.0,17573.0,0.00959214841081016,0.0008294852411825066,426,426,-0.6658648771368771
