side,cut,n_covered,coverage,achieved
resistant,0.402224791214904,66,0.15492957746478872,0.5909090909090909
resistant,0.40234440342746075,65,0.15258215962441316,0.5846153846153846
resistant,0.40867826436518456,64,0.15023474178403756,0.578125
resistant,0.4117823003092425,63,0.14788732394366197,0.5873015873015873
resistant,0.4184331934219435,62,0.14553990610328638,0.5967741935483871
resistant,0.42595082843502446,61,0.1431924882629108,0.6065573770491803
resistant,0.43537182876246655,60,0.14084507042253522,0.6
resistant,0.4393430540598633,59,0.13849765258215962,0.5932203389830508
resistant,0.4411394453742734,58,0.13615023474178403,0.603448275862069
resistant,0.4424741481790886,57,0.13380281690140844,0.6140350877192983
resistant,0.4442276032947807,56,0.13145539906103287,0.625
resistant,0.4457196075116024,55,0.12910798122065728,0.6181818181818182
resistant,0.45768770380400153,54,0.1267605633802817,0.6296296296296297
resistant,0.4610478301240117,53,0.12441314553990611,0.6415094339622641
resistant,0.4704820235142956,52,0.12206572769953052,0.6346153846153846
resistant,0.47309680130917614,51,0.11971830985915492,0.6274509803921569
resistant,0.4739290761162957,50,0.11737089201877934,0.64
resistant,0.47488361872318235,49,0.11502347417840375,0.6530612244897959
resistant,0.4808241900309445,48,0.11267605633802817,0.6666666666666666
resistant,0.49048322162314273,47,0.11032863849765258,0.6808510638297872
resistant,0.49082157644723257,46,0.107981220657277,0.6956521739130435
resistant,0.49377184489889353,45,0.1056338028169014,0.7111111111111111
resistant,0.4971347067497299,44,0.10328638497652583,0.7272727272727273
resistant,0.5073782582463948,43,0.10093896713615023,0.7209302325581395
resistant,0.5098710326557605,42,0.09859154929577464,0.7380952380952381
resistant,0.5119345942513512,41,0.09624413145539906,0.7317073170731707
resistant,0.5130905673525226,40,0.09389671361502347,0.75
resistant,0.5175097003848426,39,0.09154929577464789,0.7692307692307693
resistant,0.5257337814402475,38,0.0892018779342723,0.7894736842105263
resistant,0.5267960637675272,37,0.08685446009389672,0.8108108108108109
resistant,0.5278336491803564,36,0.08450704225352113,0.8055555555555556
resistant,0.5331053350201382,35,0.08215962441314555,0.8
resistant,0.5531253923831203,34,0.07981220657276995,0.7941176470588235
resistant,0.5619933657575311,33,0.07746478873239436,0.8181818181818182
resistant,0.5623293095651302,32,0.07511737089201878,0.8125
resistant,0.5788200495721144,31,0.07276995305164319,0.8064516129032258
resistant,0.5798885074573453,30,0.07042253521126761,0.8
resistant,0.5960287691988656,29,0.06807511737089202,0.7931034482758621
resistant,0.6118791444278113,28,0.06572769953051644,0.8214285714285714
resistant,0.6180716806602398,27,0.06338028169014084,0.8148148148148148
resistant,0.6610361769313625,26,0.06103286384976526,0.8076923076923077
resistant,0.6703732126141841,25,0.05868544600938967,0.84
resistant,0.6921715554246808,24,0.056338028169014086,0.8333333333333334
resistant,0.7040469032743634,23,0.0539906103286385,0.8260869565217391
resistant,0.7258387300532414,22,0.051643192488262914,0.8181818181818182
resistant,0.7426105357467561,21,0.04929577464788732,0.8095238095238095
resistant,0.752245109998218,20,0.046948356807511735,0.8
resistant,0.7557827655556842,19,0.04460093896713615,0.8421052631578947
resistant,0.7779535198137654,18,0.04225352112676056,0.8333333333333334
resistant,0.7781000361002689,17,0.03990610328638498,0.8823529411764706
resistant,0.7790582192123232,16,0.03755868544600939,0.875
resistant,0.7918003745037151,15,0.035211267605633804,0.9333333333333333
resistant,0.8261851502992096,14,0.03286384976525822,0.9285714285714286
